Título_Título,Desenvolvedor_Desenvolvedor,Publicadora_Publicadora,Lançamento_Lançamento,Obs._Obs.,Ref._Ref.
The Number Puzzle,D3Publisher Inc.,D3Publisher,07/Jun/2018,,[1985]
The Office Quest,11Sheep,11Sheep,17/Jan/2019,,[1986]
The Padre,Shotgun with Glitters,Feardemic,18/Abr/2019,,[1987]
The Path of Motus,MichaelArts,Michael Hicks,05/Fev/2019,,[1988]
The Pinball Arcade,FarSight Studios,FarSight Studios,11/Mai/2018,F2P,[1989]
The Princess Guide,Nippon Ichi Software,NIS America,26/Mar/2019,,[1990]
The Pyraplex,,Kairosoft,08/Ago/2019,,[1991]
The Rainsdowne Players,Steve O'Gorman,Steve O'Gorman,07/Fev/2019,,[1992]
The Raven Remastered,King Art,THQ Nordic,22/Jan/2019,,[1993]
The Red Strings Club,Deconstructeam,Devolver Digital,14/Mar/2019,,[1994]
The Room,Fireproof Games,Team17 Digital Ltd,18/Out/2018,,[1995]
The Savior's Gang,Catness Game,Catness Game,04/Jun/2019,,[1996]
The Sexy Brutale,Cavalier Game Studios,Tequila Works,07/Dez/2017,,[1997]
The Shapeshifting Detective,D'Avekki Studios,Wales Interactive Ltd.,06/Nov/2018,,[1998]
The Shrouded Isle,Kitfox Games,Kitfox Games,17/Jan/2019,,[1999]
The Spectrum Retreat,Dan Smith Studios,Ripstone,13/Set/2018,,[2000]
The Stillness of the Wind,Memory of God aka Coyan Cardenas,Fellow Traveller,07/Fev/2019,,[2001]
The Sushi Spinnery,,Kairosoft,06/Jun/2019,,[2002]
The Swindle,Size Five Games,Curve Digital,11/Out/2018,,[2003]
The Swords of Ditto: Mormo's Curse,onebitbeyond,Devolver Digital,02/Mai/2019,,[2004]
The Tower of Beatrice,Sometimes You,Sometimes You,31/Jul/2019,,[2005]
The Trail: Frontier Challenge,22cans,Kongregate,08/Mar/2018,,[2006]
The Vanishing of Ethan Carter,,The Astronauts,15/Ago/2019,,[2007]
The VideoKid,Videokid Games Ltd,Chorus Worldwide Games,30/Ago/2018,,[2008]
The Walking Dead: The Complete First Season,Telltale Games,Telltale Games,07/Ago/2018,,[2009]
The Walking Dead: The Final Season,Telltale Games,Skybound Games,13/Ago/2018,,[2010]
The Walking Vegetables: Radical Edition,StillRunning,Merge Games,08/Nov/2018,,[2011]
The Wardrobe,C.I.N.I.C. Games,MixedBag Srl,06/Jul/2018,,[2012]
The Warlock of Firetop Mountain: Goblin Scourge Edition!,Tin Man Games,Tin Man Games,13/Set/2018,,[2013]
The Way Remastered,Sonka,Sonka,20/Abr/2018,,[2014]
The World Ends with You: Final Remix,"Square Enix CO., LTD.",Nintendo,12/Out/2018,BR,[2015]
The World Next Door,Rose City Games,VIZ Media,28/Mar/2019,,[2016]
Thea: The Awakening,MuHa Games,Monster Couch,01/Fev/2019,,[2017]
Theatre Tales,Ultimate Games,Ultimate Games,24/Abr/2019,,[2018]
Them Bombs!,Yellow Dot,Yellow Dot,30/Mai/2018,,[2019]
Thief Simulator,Noble Muffins / Forever Entertainment,Forever Entertainment,16/Mai/2019,,[2020]
Thimbleweed Park,"Terrible Toybox, Inc.",Terrible Toybox,21/Set/2017,,[2021]
Think of the Children,Jammed Up Studios,Fellow Traveller,25/Set/2018,,[2022]
This Is the Police,Weappy Studio,THQ Nordic,24/Out/2017,,[2023]
This Is the Police 2,Weappy Studio,THQ Nordic,25/Set/2018,,[2024]
This War of Mine: Complete Edition,11 bit studios,11 bit studios,27/Nov/2018,,[2025]
Three Fourths Home: Extended Edition,Bracket Games,Digerati,10/Mai/2018,,[2026]
Thumper,Drool LLC,Drool LLC,18/Mai/2017,,[2027]
Tied Together,Napalmtree studios,Headup Games,19/Out/2018,,[2028]
Timber Tennis: Versus,Crunching Koalas / Digital Melody,Crunching Koalas,08/Nov/2018,,[2029]
Timberman VS,Forever Entertainment,Forever Entertainment,03/Mai/2018,,[2030]
Time Carnage,Wales Interactive Ltd.,Wales Interactive Ltd.,12/Set/2018,,[2031]
Time Recoil,10tons Ltd,10tons,26/Out/2017,,[2032]
Timespinner,Lunar Ray Games,Chucklefish,04/Jun/2019,,[2033]
Tinboy,Interactive Stone,Interactive Stone,15/Nov/2018,,[2034]
Tiny Barbarian DX,StarQuail Games,"Nicalis, Inc.",10/Out/2017,,[2035]
Tiny Derby,,Triple Boris,04/Jun/2019,,[2036]
Tiny Hands Adventure,Blue Sunset Games,Blue Sunset Games,10/Ago/2018,,[2037]
Tiny Metal,Area 35,Unties,21/Dez/2017,,[2038]
Tiny Metal: Full Metal Rumble,AREA35,AREA 34,11/Jul/2019,,[2039]
Tiny Troopers Joint Ops XL,Epiphany Games,Wired Productions,21/Dez/2017,,[2040]
Titan Quest,Iron Lore Entertainment,THQ Nordic,31/Jul/2018,,[2041]
Titans Pinball,,SuperPowerUpGames,26/Jul/2019,,[2042]
Toast Time: Smash Up!,Force Of Habit,Force Of Habit,16/Nov/2018,,[2043]
Toby: The Secret Mine,Lukas Navratil,Headup Games,24/Jul/2018,,[2044]
ToeJam & Earl: Back in the Groove!,HumaNature Studios,HumaNature Studios,01/Mar/2019,,[2045]
Toki,Microïds,Microïds,04/Dez/2018,,[2046]
Toki Tori,Two Tribes,Two Tribes Publishing,30/Mar/2018,,[2047]
Toki Tori 2+: Nintendo Switch Edition,Two Tribes,Two Tribes Publishing,23/Fev/2018,,[2048]
Tokyo School Life,"M2 Co.,LTD",PQube,14/Fev/2019,,[2049]
Toon War,,Lemondo Games,30/Mai/2019,,[2050]
Toridama: Brave Challenge,G-Mode,G-Mode,31/Jan/2019,,[2051]
TorqueL: Physics Modified Edition,FullPowerSideAttack.com,Active Gaming Media,15/Fev/2018,,[2052]
Totes the Goat,Atooi,Atooi,01/Mar/2018,,[2053]
Touch Battle Tank SP,Silver Star Japan,Silver Star,07/Dez/2017,,[2054]
Touhou Genso Wanderer Reloaded,Aqua Style,NIS America,17/Jul/2018,,[2055]
Touhou Kobuto V: Burst Battle,Cubetype,NIS America,10/Out/2017,,[2056]
Touhou Sky Arena: Matsuri-Climax,Areazero,Mediascape,14/Fev/2019,,[2057]
Tower Of Babel,EnjoyUp Games,EnjoyUp Games,28/Set/2017,,[2058]
TowerFall,Matt Makes Games Inc.,Matt Makes Games Inc.,27/Set/2018,,[2059]
Townsmen,HandyGames,HandyGames,09/Nov/2018,,[2060]
Toy Stunt Bike: Tiptop's Trials,Wobbly Tooth,Wobbly Tooth,23/Ago/2018,,[2061]
Trailblazers,Supergonk,Rising Star Games,15/Nov/2018,CP,[2062]
Transcripted,Alkemi Games,Plug In Digital,23/Nov/2017,,[2063][1220]
Transistor,Supergiant Games,Supergiant Games,01/Nov/2018,,[2064]
Travis Strikes Again: No More Heroes,Grasshopper Manufacture Inc.,Grasshopper Manufacture Inc.,18/Jan/2019,,[2065]
Trax - Build it Race it,Sabec Limited,Sabec,21/Mai/2018,,[2066]
Treadnauts,Topstitch Games,Topstitch Games,17/Ago/2018,,[2067]
Treasure Stack,Pixelakes,Pixelakes,01/Mar/2019,CP,[2068]
Trials Rising,Ubisoft,Ubisoft,26/Fev/2019,,[2069][2070]
Tricky Towers,WeirdBeard,WeirdBeard,11/Out/2018,,[2071]
Trine: Enchanted Edition,Frozenbyte,Frozenbyte,09/Nov/2018,,[2072][2073]
Trine 2: Complete Story,Frozenbyte,Frozenbyte,18/Fev/2019,,[2074][2073]
Trine 3: The Artifacts of Power,Frozenbyte,Frozenbyte,29/Jul/2019,,[2075][2073]
Trivial Pursuit Live!,Ubisoft,Ubisoft,30/Out/2018,,[2076]
Troll and I,Spiral House Ltd,Maximum Games,15/Ago/2017,,[2077]
Trouserheart,Kyy Games,Kyy Games,04/Out/2018,,[2078]
Truck Racing Championship,N-Racing,Bigben Interactive,20/Ago/2019,,[2079]
True Fear: Forsaken Souls - Part 1,Digital Lounge,Digital Lounge,30/Out/2018,,[2080]
Trüberbrook,btf,Headup Games,17/Abr/2019,,[2081]
Trybit Logic,Himacs,Himacs,13/Dez/2018,,[2082]
TT Isle of Man,,Bigben Interactive,23/Mai/2019,,[2083]
TumbleSeed,Team TumbleSeed,aeiowu,02/Mai/2017,,[2084]
Tumblestone,The Quantum Astrophysicists Guild,The Quantum Astrophysicists Guild,05/Out/2017,,[2085]
Turok,Nightdive Studios,Nightdive Studios,18/Mar/2019,,[2086]
Turok 2: Seeds of Evil,Nightdive Studios,Nightdive Studios,09/Ago/2019,,[2087]
TurtlePop: Journey to Freedom,Zengami Pte. Ltd.,DigiPen Game Studios,09/Mar/2018,,[2088]
Twin Robots: Ultimate Edition,Thinice Games,Ratalaika Games,23/Fev/2018,,[2089]
Twist & Match,,Sanuk Games,14/Mar/2019,,[2090]
Type:Rider,Novelab,ARTE Experience,25/Abr/2019,,[2091]
Typoman,Brainseed Factory,Wales Interactive Ltd.,22/Fev/2018,,[2092]
Tyr : Chains of Valhalla,Ennui Studio,Ennui Studio,22/Fev/2019,,[2093]
UglyDolls: An Imperfect Adventure,Well Played,Outright Games,26/Abr/2019,,[2094]
Ultimate Chicken Horse,Clever Endeavour Games,Clever Endeavour Games,25/Set/2018,CP,[2095]
Ultimate Runner,Raylight Studios,Treva Entertainment GmbH,06/Dez/2018,,[2096]
Ultra Hyperball,Springloaded,Springloaded,28/Jul/2018,,[2097]
Ultra Space Battle Brawl,Mojiken Studio,Toge Productions,05/Jul/2018,,[2098]
Ultra Street Fighter II: The Final Challengers,Capcom,Capcom,26/Mai/2017,,[2099]
Ultrawings,"Bit Planet Games, LLC",Bit Planet Games,28/Mar/2019,,[2100]
Ultrawings Flat,Bit Planet Games,Bit Planet Games,28/Abr/2019,,[2101]
Umihara Kawase Fresh!,,Nicalis,18/Jul/2019,,[2102]
Unbox: Newbie's Adventure,Prospect Games,Merge Games,21/Nov/2017,,[2103]
Uncanny Valley,Cowardly Creations,Digerati,25/Dez/2018,,[2104]
Undead's Building,Double Drive,Double Drive,28/Mar/2019,,[2105]
Undead Horde,10tons,10tons,15/Mai/2019,,[2106]
Undertale,"8-4, Ltd.",8-4,18/Set/2018,,[2107]
Unepic,Unepic,Francis Cota,15/Dez/2017,,[2108]
Unexplored,Nephilim game Studios,Digerati,09/Ago/2018,,[2109]
Unholy Heights,Mebius,mebius.,14/Dez/2017,,[2110]
UNI,Game Museum,Game Museum,28/Mar/2019,,[2111]
Unicornicopia,Pocket Money Games,Pocket Money Games,03/Jan/2019,,[2111]
Unit 4,Gamera Interactive,QubicGames,15/Mar/2019,,[2112]
Unknown Fate,Marslit Games,Marslit Games,05/Mar/2019,,[2113]
Uno for Nintendo Switch,Ubisoft,Ubisoft,07/Nov/2017,,[2114]
Unravel Two,ColdWood Interactive,Electronic Arts Inc,22/Mar/2019,BR,[2115]
Unruly Heroes,Magic Design Studios,Magic Design Studios,23/Jan/2019,,[2116]
Unworthy,Aleksandar Kuzmanovic Games,AK Games,29/Jan/2019,,[2117]
Urban Trial Playground,Teyon,Tate Multimedia,05/Abr/2018,,[2118]
Use Your Words,"Smiling Buddha Games, LLC.","Smiling Buddha Games, LLC.",03/Ago/2017,,[2119]
Utopia 9 - A Volatile Vacation,Whalegun,QubicGames,19/Jan/2019,,[2120]
Uurnog Uurnlimited,Raw Fury,Raw Fury,21/Nov/2017,,[2121]
V-Rally 4,Kylotonn Racing Games,Bigben Interactive,06/Mar/2019,,[2122]
V.O.I.D.,JanduSoft S.L.,JanduSoft,28/Fev/2019,,[2123]
VA-11 Hall-A: Cyberpunk Bartender Action,Sukeban Games,Ysbryd Games,02/Mai/2019,,[2124]
Vaccine,Rainy Night Creations,Rainy Frog,06/Jul/2017,,[2125]
Valiant Hearts: The Great War,Ubisoft Montpellier,Ubisoft,08/Nov/2018,,[2126][341]
Valkyria Chronicles,Sega,Sega,16/Out/2018,,[2127]
Valkyria Chronicles 4,Sega,Sega,25/Set/2018,,[2128]
Valley,Blue Isle Studios,Blue Isle Studios,07/Mar/2018,,[2129]
Valthirian Arc: Hero School Story,Agate,PQube,02/Out/2018,,[2130]
Vambrace: Cold Soul,Devespresso Games,Headup Games,29/Ago/2019,,[2131]
Vandals,Novelab,ARTE Experience,25/Abr/2019,,[2132]
Vaporum,Fatbot Games,Merge Games,11/Abr/2019,,[2133]
Varion,Rundisc,Lightmaze,08/Nov/2018,,[2134]
Vasara Collection,QUByte Interactive,QUByte Interactive,15/Ago/2019,,[2135]
Vectronom,Ludopium,ARTE Experience,29/Mai/2019,,[2136]
Vegas Party,Raylight Studios,Funbox Media,21/Jun/2018,,[2137]
Vektor Wars,Super Icon,Super Icon,11/Jul/2019,,[2138]
Velocity 2X,FuturLab,Curve Digital,20/Set/2018,,[2139]
Venture Kid,Snikkabo,FDG Entertainment,02/Mai/2019,,[2140]
Venture Towns,,Kairosoft,20/Dez/2018,,[2141]
Vertical Drop Heroes HD,Nerdook Productions,Digerati,04/Out/2018,,[2142]
Vertical Strike Endless Challenge,Project ICKX,Active Gaming Media,18/Jul/2018,,[2143]
Verlet Swing,,Digerati,14/Jun/2019,,[2144]
Vesta,FinalBoss Games,FinalBoss Games,19/Jan/2019,,[2145]
Victor Vran Overkill Edition,Haemimont Games,Haemimont Games,28/Ago/2018,,[2146]
Violett,Forever Entertainment,Forever Entertainment,26/Out/2017,,[2147]
Viviette,DYA Games,DYA Games,20/Dez/2018,,[2148]
Voez,Rayark Inc.,Flyhigh Works,09/Mar/2017,,[2149]
Volgarr the Viking,Crazy Viking Studios,Crazy Viking,05/Out/2017,,[2150]
Vosaria: Lair of the Forgotten,Johnny Ostad,Johnny Ostad,14/Jun/2019,,[2151]
Vroom in the Night Sky,Poisoft,Poisoft,05/Abr/2017,,[2152]
VSR: Void Space Racing,Sonka,Sonka,20/Jul/2018,,[2153]
VVVVVV,Nicalis,"Nicalis, Inc.",17/Nov/2017,,[2154]
Waking Violet,Marco Mastropaolo,MixedBag Srl,29/Jun/2018,,[2155]
Waku Waku Sweets,"Sonic Powered Co.,Ltd.","Sonic Powered Co.,Ltd.",22/Nov/2018,,[2156]
Wanderjahr TryAgainOrWalkAway,Workyrie Game Studio,Corecell Technology,15/Fev/2018,,[2157]
Wandersong,Greg Lobanov,Humble Bundle,27/Set/2018,,[2158]
War Tech Fighters,Drakkar Dev,Blowfish Studios,27/Jun/2019,,[2159]
War Theatre,Arcade Distillery,Arcade Distillery,04/Abr/2019,,[2160]
Warframe,Digital Extremes Ltd,Digital Extremes,20/Nov/2018,F2P,[2161]
Wargroove,Chucklefish,Chucklefish LTD,01/Fev/2019,CP BR,[2162]
Warhammer Age of Sigmar: Champions,PlayFusion Ltd.,PlayFusion,16/Abr/2019,F2P CP,[2163]
Warhammer Quest,Rodeo,Chilled Mouse,26/Fev/2019,,[2163]
Warlocks 2: God Slayers,Fat Dog Games / Frozen District,QubicGames,07/Jun/2019,,[2164]
Warlock's Tower,Midipixel,Ratalaika Games,31/Mai/2019,,[2165]
Warp Shift,Isbit Games,Isbit Games,27/Mar/2018,,[2166]
Warparty,Warcave,Crazy Monkey,28/Mar/2018,,[2167]
Warplanes: WW2 Dogfight,Home Net Games,7Levels,21/Fev/2019,,[2168]
Warriors Orochi 4,"Koei Tecmo Games CO., LTD.",Koei Tecmo America,16/Out/2018,,[2169]
Watermelon Party,,Bigosaur,31/Mai/2019,,[2170]
Wasteland 2: Director's Cut,inXile Entertainment,inXile Entertainment,13/Set/2018,,[2171]
Way of the Passive Fist,Household Games,Household Games,11/Abr/2019,,[2172]
Wayout,Konstructors Entertainment,Nestor Yavorskyy,11/Jul/2019,,[2173]
We. The Revolution,Polyslash,Klabater,25/Jun/2019,,[2174]
Welcome to Hanwell,Steel Arts Software,Steel Arts Software,09/Ago/2019,,[2175]
Werewolf Pinball,EnjoyUp Games,EnjoyUp Games,20/Jul/2018,,[2176]
West of Loathing,Asymmetric,Asymmetric,31/Mai/2018,,[2177]
Western 1849 Reloaded,Nawia Games,Nawia Games,29/Ago/2018,,[2178]
What Remains of Edith Finch,Giant Sparrow,Annapurna Interactive,04/Jul/2019,,[2179]
Wheel of Fortune,,Ubisoft,30/Out/2018,,[2180][915]
Wheels of Aurelia,Santa Ragione Srl,MixedBag Srl,02/Nov/2017,,[2181]
When Ski Lifts Go Wrong,Hugecalf Studios,Curve Digital,23/Jan/2019,,[2182]
Where Are My Friends?,Sometimes You,Sometimes You,25/Abr/2018,,[2183]
Whip! Whip!,Alpha Unit Co.,Alpha Unit,14/Jun/2018,,[2184]
Whipseey and the Lost Atlas,,Blowfish Studios,27/Ago/2019,,[2185]
Whispering Willows,Night Light Interactive,Akupara Games,27/Set/2018,,[2186]
White Night,Osome Studio,Plug In Digital,17/Mai/2018,,[2187]
Wild Guns Reloaded,Natsume Atari Inc.,Natsume,17/Abr/2018,,[2188]
Will: A Wonderful World,WMY Studio,Circle Ent.,18/Out/2018,,[2189]
Wilmot's Warehouse,,Finji,29/Ago/2019,,[2190]
Windjammers,DotEmu,DotEmu,23/Out/2018,,[2191]
Windscape,Magic Sandbox,Headup Games,27/Mar/2019,,[2192]
Witch & Hero,,Flyhigh Works,21/Mar/2019,,[2193]
Witch Thief,Cardboard Keep,Cardboard Keep,19/Abr/2019,,[2194]
Wizard of Legend,The Contingent99,Humble Bundle,15/Mai/2018,,[2195]
Wolfenstein II: The New Colossus,MachineGames,Bethesda Softworks,29/Jun/2018,,[2196]
Wolfenstein: Youngblood,MachineGames,Bethesda Softworks,26/Jul/2019,,[2197][2198]
Wonder Boy: The Dragon's Trap,Lizardcube,DotEmu,18/Abr/2017,,[2199]
Wonder Boy Returns Remix,,CFK,23/Mai/2019,,[2200]
Wondershot,Leikir Studio,QubicGames,22/Dez/2018,,[2201]
Woodle Tree Adventures,Chubby Pixel,Chubby Pixel,21/Dez/2017,,[2202]
Woodle Tree 2: Deluxe,Chubby Pixel,Chubby Pixel,25/Jul/2019,,[2203]
Word Mesh,EntwicklerX,EntwicklerX,20/Jun/2019,,[2204]
Word Puzzles by POWGI,Lightwood Games,Lightwood Games,25/Out/2018,,[2205]
Word Search by POWGI,Lightwood Games,Lightwood Games,29/Mar/2018,,[2206]
Word Sudoku by POWGI,Lightwood Games,Lightwood Games,22/Nov/2018,,[2207]
Word Wheel by POWGI,Lightwood Games,Lightwood Games,06/Jun/2019,,[2208]
Wordsweeper by POWGI,Lightwood Games,Lightwood Games,08/Ago/2019,,[2209]
Worldend Syndrome,Arc System Works / Toybox,Arc System Works,02/Mai/2019,,[2210]
World Conqueror X,Easytech,Circle Ent.,08/Mar/2018,,[2211]
World Cruise Story,,Kairosoft,18/Jul/2019,,[2212]
World of Final Fantasy Maxima,Tose,Square Enix,06/Nov/2018,,[2213]
World of Goo,2D Boy,Tomorrow Corporation,16/Mar/2017,,[2214]
World Of Riders,Kodobur Yazilim,Kodobur Yazilim,02/Jul/2019,,[2215]
World Soccer,,Sabec,20/Mai/2019,,[2216]
World Soccer Pinball,EnjoyUp Games,EnjoyUp Games,31/Mai/2018,,[2217]
World to the West,Rain AS,Rain Games,18/Jan/2018,,[2218]
World Tree Marché,"Asobox Co., Ltd.",Flyhigh Works,28/Fev/2019,,[2219]
WorldNeverland - Elnea Kingdom,althi Inc.,althi,15/Mar/2018,,[2220]
Worms W.M.D,Team17 Digital Ltd,Team17 Digital Ltd,23/Nov/2017,,[2221]
Wreckin' Ball Adventure,Don't Bite Devs,QubicGames,02/Ago/2019,,[2222]
Wulverblade,Fully Illustrated / Darkwind Media,Darkwind Media,12/Out/2017,,[2223]
WWE 2K18,"Yuke'S Co., Ltd.",2K Sports,06/Dez/2017,,[2224]
X-Morph: Defense,Exor Studios,Exor Studios,21/Fev/2019,,[2225]
Xenoblade Chronicles 2,Monolith Soft,Nintendo,01/Dez/2017,BR,[2226]
Xenon Racer,3DClouds.it,Soedesco,26/Mar/2019,,[2227]
Xenon Valkyrie+,,Cowcat,01/Jan/2019,,[2228]
Xenoraid,10tons Ltd,10tons,17/Nov/2017,,[2229]
Xeodrifter,Atooi,Atooi,15/Fev/2018,,[2230]
Xtreme Club Racing,Jorge Biedma Azuar,EnjoyUp Games,03/Mai/2019,,[2231]
Yōdanji,Kemco,Kemco,07/Dez/2017,,[2232]
Yesterday Origins,Pendulo Studios,Microïds,31/Mai/2018,,[2233]
Yet Another Zombie Defense HD,Awesome Games Studio Sp. z o.o.,Awesome Games,05/Abr/2019,,[2234]
YIIK: A Postmodern RPG,Ackk Studios LLC,Ysbryd Games,17/Jan/2019,,[2235]
Yoku's Island Express,Villa Gorilla,Team17 Digital Ltd,29/MAi/2018,,[2236]
Yomawari: The Long Night Collection,Nippon Ichi Software,NIS America,30/Out/2018,,[2237]
Yonder: The Cloud Catcher Chronicles,Prideful Sloth,Prideful Sloth,17/Mai/2018,,[2238]
Yono and the Celestial Elephants,Neckbolt,Plug In Digital,12/Out/2017,,[2239]
Yooka-Laylee,Playtonic Games,Team17 Digital Ltd,14/Dez/2017,,[2240]
Yoshi's Crafted World,Good-Feel,Nintendo,29/Mar/2019,A BR,[2241]
You Died but a Necromancer Revived You,BolHut,Jaime Alvarez Losada,19/Abr/2019,,[2242]
Your Toy,VivaGames,VivaGames,16/Mai/2019,,[2243]
Youtubers Life OMG Edition,U-Play Online,U-Play Online,20/Nov/2018,,[2244]
Ys VIII: Lacrimosa of DANA,Nihon Falcom Corporation,NIS America,26/Jun/2018,,[2245]
Yu-Gi-Oh! Legacy of the Duelist: Link Evolution,Other Ocean Interactive,Konami,20/Ago/2019,,[2246]
Yumenikki: Dream Diary,Active Gaming Media Inc.,Active Gaming Media,21/Fev/2019,,[2247]
Yuso,Vertical Reach,Vertical Reach,05/Jul/2018,,[2248]
Zaccaria Pinball,Magic Pixel,Magic Pixel,23/Jul/2018,F2P,[2249]
Zarvot,Snowhydra Games,Snowhydra Games,18/Out/2018,,[2250]
Zen Bound 2,Secret Exit Ltd.,Secret Exit,24/Mai/2018,,[2251]
Zero Gunner 2 for Nintendo Switch,Zerodiv Inc.,Zerodiv,25/Jan/2018,,[2252]
Zeroptian Invasion,Josyan,Ratalaika Games,26/Abr/2019,,[2253]
Zeus Quests Remastered,,Crazysoft,22/Nov/2018,,[2254]
Ziggurat,Milkstone Studios,Milkstone Studios,05/Jul/2019,,[2255]
Zomb,,Sabec,21/Jun/2019,,[2256]
Zombie Driver Immortal Edition,EXOR Studios,EXOR Studios,25/Jul/2019,,[2257]
Zombie Gold Rush,Amazing Inc.,amazing,26/Out/2017,,[2258]
Zombie Night Terror,NoClip,Plug In Digital,31/Jan/2019,,[2259]
Zombie Panic in Wonderland DX,,Akaoni Studio,25/Jan/2019,,[2260]
Zombie Scrapper,Ransacked Studios,Ransacked Studios,05/Abr/2019,,[2260]
Zombillie,Forever Entertainment,Forever Entertainment,29/Mar/2018,,[2261]
Zotrix: Solar Division,ZeroBit Games,Ocean Media,12/Abr/2018,,[2262]
Headspun,Superstring,Wales Interactive,30/Ago/2019,,[2263]
SpaceColorsRunner,,Arach Games,30/Ago/2019,,[2264]
Bulletstorm: Duke of Switch Edition,,Gearbox Publishing,30/Ago/2019,,[2265]
Astral Chain,PlatinumGames Inc,Nintendo,30/Ago/2019,BR,[2266]
Legend of the Skyfish,Mgaia Studio,Ratalaika Games,30/Ago/2019,,[2267]
Risk of Rain 2,Hopoo Games,Gearbox Publishing,30/Ago/2019,BR,[2268]
Wand Wars,Moonradish,Moonradish,02/Set/2019,,[2269]
Fin and the Ancient Mystery,Tzimmes Games,Silesia Games,03/Set/2019,,[2270]
Root Letter: Last Answer,Kadokawa Games,Pqube,03/Set/2019,,[2271]
Spyro Reignited Trilogy,Toys For Bob,Activision,03/Set/2019,,[2272]
Final Fantasy VIII Remastered,,Square Enix,03/Set/2019,,[2273]
Torchlight II,,Perfect World,03/Set/2019,,[2274]
Barrier-x,,HypeTrain Digital,03/Set/2019,,[2275]
Divinity: Original Sin 2 - Definitive Edition,Larian Studios / The Dragon Commanders,Larian Studios,04/Set/2019,BR,[2276]
Just Black Jack,Run-Down Games,Run-Down Games,04/Set/2019,,[2277]
The Long Journey Home,Daedalic Entertainment GmbH,Daedalic GmbH,04/Set/2019,,[2278]
Deadly Premonition Origins,ToyBox,ToyBox,04/Set/2019,,[2279]
Super Kirby Clash,"HAL Laboratory, Inc.",Nintendo,04/Set/2019,F2P BR,[2280]
Space Cows,Happy Corruption,All in! Games,05/Set/2019,,[2281]
Pocket Clothier,,Kairosoft,05/Set/2019,,[2282]
Asdivine Menace,Exe Create,Kemco,05/Set/2019,,[2283]
Headliner: NoviNews,Unbound Creations,Unbound Creations,05/Set/2019,,[2284]
The Battle Of Mahjong,,Kusone Studio,05/Set/2019,,[2285]
If My Heart Had Wings,,MoeNovel,05/Set/2019,,[2286]
Wuppo: Definitive Edition,Knuist and Perzik,Knuist and Perzik,05/Set/2019,,[2287]
Hyperforma,Nord Unit.,HeroCraft,05/Set/2019,,[2288]
Battle Supremacy - Ground Assault,Atypical Games,Atypical Games,05/Set/2019,,[2289]
Fifty Words by POWGI,Lightwood Games,Lightwood Games,05/Set/2019,,[2290]
Gnomes Garden: Lost King,,8Floor Games,05/Set/2019,,[2291]
Spice and Wolf VR,Gemdrops,Gemdrops,05/Set/2019,NL 04,[2292]
Molecats,Vidroid,Vidroid,05/Set/2019,,[2293]
River City Girls,WayForward,WayForward,05/Set/2019,,[2294]
Remothered: Tormented Fathers,Stormind Games,Darril Arts,06/Set/2019,,[2295]
NBA 2K20,Visual Concepts,2K Games,06/Set/2019,BR,[2296]
Kaiju Khaos,,,06/Set/2019,,[2297]
Creature in the Well,Flight School Studio,Flight School Studio,06/Set/2019,,[2298]
Himno,David Moralejo Sánchez,Ratalaika Games,06/Set/2019,,[2299]
Hyperdrive Massacre,,34BigThings,06/Set/2019,,[2300]
Super Jumpy Ball,,Casual Games,06/Set/2019,,[2301]
Blasphemous,The Game Kitchen,Team17 Digital Ltd,10/Set/2019,,[2302]
Gun Gun Pixies,Idea Factory / Compile Heart / Shade Inc.,Pqube,10/Set/2019,,[2303]
Throne Quest Deluxe,Valorware LTD,Valorware LTD,11/Set/2019,,[2304]
Sydney Hunter and the Curse of the Mayan,CollectorVision Games,CollectorVision Games,12/Set/2019,,[2305]
Battle Supremacy - Evolution,Atypical Games,Atypical Games,12/Set/2019,,[2306]
Super Dodgeball Beats,PlayStack Ltd,PlayStack Ltd,12/Set/2019,,[2307]
Ritual: Sorcerer Angel,Hexage s.r.o.,Hexage,12/Set/2019,,[2308]
The Tenth Line Special Edition,Sungazer Software,Sungazer Software,12/Set/2019,,[2309]
Yellow Fins,,Sprakelsoft,12/Set/2019,,[2310]
Newt One,,Whitethorn Digital,12/Set/2019,,[2311]
