Título_Título,Desenvolvedor_Desenvolvedor,Publicadora_Publicadora,Lançamento_Lançamento,Obs._Obs.,Ref._Ref.
Iris School of Wizardry: Vinculum Hearts,OperaHouse Corporation,DigimerceIGIMERCE,11/Out/2018,,[894]
Iro Hero,Artax Games SL,eastasiasoft,07/Jun/2018,,[895]
Iron Crypticle,Confused Pelican / Tikipod Ltd,Tikipod,13/Fev/2019,,[896]
Iron Snout,SnoutUp Games,Ratalaika Games,19/Abr/2019,,[897]
Ironcast,Dreadbit,Ripstone,10/Ago/2017,,[898]
Irony Curtain: From Matryoshka with Love,Artifex Mundi,Artifex Mundi,27/Jun/2019,,[899]
Island Flight Simulator,Caipirinha Games,Joindots,01/Fev/2018,,[900]
Isoland,Cotton Game,ORENDA,25/Abr/2019,,[901]
Isoland 2 - Ashes of Time,Cotton Game,ORENDA,25/Abr/2019,,[902]
Istanbul: Digital Edition,Acram Digital / Mobo Studio,Acram Digital,28/Mar/2019,,[903]
Instant Sports,JustForGames,Plug In Digital,16/Ago/2019,,[904]
It's Spring Again,Sometimes You,Sometimes You,17/Abr/2018,,[905]
Ittle Dew,Ludosity,Ludosity,15/Ago/2019,,[906]
